A medir,Calibracion 1,Calibracion 2,Real,Tiempo,Intentos,fecha
0,1,2,0.00,,,04/09
0,1,2,0.00,,,04/09
0,3,1,0.10,8’ 30’’,,04/09
0,3,2,0.80,3’ 39’’,,04/09
0,1,4,0.49,30'',1,25/9
0,2,3,0.45,3' 40'',1,25/9
0,2,4,1.14,50'',1,25/9
0,1,3,0.54,30'',1,30/10
0,2,1,0.17,40'',1,30/10
,,,,,,
1,2,3,0.90,4’,,04/09
1,3,2,1.13,,,04/09
1,2,4,1.20,,,04/09
1,1,4,1,20'',1,25/9
1,2,3,0.91,40'',1,25/9
1,2,4,1.59,1',1,25/9
1,1,3,0.93,30'',1,30/10
1,2,1,0.81,30'',1,30/10
,,,,,,
1.5,1,4,1.30,55'',1,25/9
1.5,2,3,1.32,40'',1,25/9
1.5,2,4,02.05,40'',1,25/9
1.5,1,3,1.38,40'',1,18/10
1.5,2,1,1.16,30'',1,18/10
,,,,,,
2,1,4,1.75,30'',1,25/9
2,2,3,1.80,1',1,25/9
2,2,4,1.95,30'',1,25/9
2,1,3,1.83,30'',1,30/10
2,2,1,1.75,30'',1,30/10
2,3,4,1.93,30'',1,30/10
,,,,,,
3,1,4,2.99,40'',1,25/9
3,2,3,2.92,30'',1,25/9
3,2,4,2.82,30'',1,25/9
3,1,3,3.18,30'',1,30/10
3,2,1,3.37,30'',1,30/10
3,3,4,3.01,25'',1,30/10
,,,,,,
3.5,1,4,2.23,40'',1,25/9
3.5,2,3,3.22,50'',1,25/9
3.5,2,4,3.23,40'',1,25/9
3.5,1,3,4.04,30'',1,30/10
3.5,2,1,4.27,30'',1,30/10
,,,,,,
5.5,4,7,5.51,1' 30'',1,11/09
5.5,7,4,5.50,30'',1,11/09
5.5,8,4,5.54,40'',2,11/09
5.5,7,8,5.23,30'',1,11/09
5.5,7,9,5.45,40'',1,23/10
5.5,4,9,5.62,25'',1,23/10
,,,,,,
7,8,4,7.15,40'',1,9/10
7,7,4,6.94,-,1,9/10
7,7,8,07.04,40'',1,9/10
7,6,8,6.94,30'',1,23/10
7,9,8,7.15,40'',2,23/10
,,,,,,
2.66,8,4,2.42,45'',1,9/10
2.66,7,4,2.42,30'',1,9/10
2.66,7,8,1.70,40'',2,9/10
2.66,7,9,2.5,25'',1,23/10
,,,,,,
8,8,4,8.10,50'',1,9/10
8,7,4,7.94,1',1,9/10
8,7,8,8.10,50'',1,9/10
8,6,8,7.91,30'',1,23/10
,,,,,,
4,8,4,4.15,50'',1,9/10
4,7,4,3.92,25'',1,9/10
4,7,8,3.52,30'',1,9/10
4,9,8,4.09,30'',1,23/10
4,4,8,4.09,25'',1,23/10
4,1,4,4.06,45'',1,30/10
4,2,3,3.97,25'',1,30/10
4,2,4,4,20'',1,30/10
4,1,3,4.75,1',1,30/10
4,2,1,5.19,30'',1,30/10
4,3,4,4,25'',1,30/10
,,,,,,
6,9,6,5.95,50'',1,2/10
6,7,9,5.65,20'',1,2/10
6,6,8,6.06,35'',1,16/10
6,7,8,5.87,30'',1,16/10
6,6,7,5.95,20'',1,16/10
6,9,7,5.65,35'',2,23/10
6,4,7,5.92,35'',1,23/10
6,4,9,6.15,20'',1,23/10
,,,,,,
9,9,6,9.16,40'',1,2/10
9,7,9,9.16,20'',1,2/10
9,6,8,8.69,30'',1,16/10
9,7,8,8.87,30'',1,16/10
9,6,7,8.31,25'',1,23/10
,,,,,,
7,9,6,7.30,30'',1,2/10
7,7,9,7.11,30'',1,2/10
7,6,8,7.15,20'',1,16/10
7,7,8,7.17,25'',1,16/10
7,6,7,7.03,30'',1,23/10
,,,,,,
8,9,6,8.5,30'',1,2/10
8,7,9,8.35,30'',1,2/10
8,6,8,8.06,35'',1,16/10
8,7,8,8.27,30'',1,16/10
8,6,7,7.89,20'',1,16/10
8,9,7,8.27,35'',1,23/10
8,6,9,8.15,25'',1,23/10
,,,,,,
8.5,9,6,9.26,50'',1,2/10
8.5,7,9,9.14,20'',1,2/10
8.5,6,8,8.68,30'',1,16/10
8.5,7,8,8.86,30'',1,16/10
8.5,6,7,8.42,25'',1,16/10
8.5,6,9,8.59,35'',1,23/10
8.5,4,8,8.10,25'',1,23/10
